yt_id,start_seconds,end_seconds,r_label
19_NbBoeg6Q,90.0,100.0,"Fire engine, fire truck (siren)"
1AhXhPA17_4,0.0,9.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
1B_W2d795Hg,570.0,580.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
1D5PX9cSpUE,40.0,50.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Truck,Vehicle"
1E3h5N6pFw0,30.0,40.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
1Fc9WqEgTe4,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
1JY9Z9fcd18,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
1K0Y5IjgHVo,130.0,140.0,"Motor vehicle (road),Fire engine, fire truck (siren),Air horn, truck horn,Truck,Vehicle,Speech"
1Lws8xqLpZQ,22.0,32.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
1MfHm5tOyE8,21.0,31.0,"Fire engine, fire truck (siren),Engine,Emergency vehicle,Vehicle"
1Nm8MYVAQ5U,30.0,40.0,"Fire engine, fire truck (siren),Truck,Vehicle"
1OdTtb3dVdA,30.0,40.0,"Fire engine, fire truck (siren),Fire,Emergency vehicle,Speech,Outside, urban or manmade"
1R3jgf9V6pc,30.0,40.0,"Fire engine, fire truck (siren),Siren,Speech"
1SXXJqXPcQA,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
1Sj2EE5s6zI,2.0,12.0,"Fire engine, fire truck (siren),Engine,Vehicle"
1TCvmLd4RjY,28.0,38.0,"Fire engine, fire truck (siren),Vehicle,Speech"
1VR6cXdPsi4,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
1VZyO8ew9UA,11.0,21.0,"Fire engine, fire truck (siren),Emergency vehicle,Accelerating, revving, vroom,Truck,Vehicle,Heavy engine (low frequency)"
1WLjFhczt6c,60.0,70.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech"
1WnFlP_HGbQ,40.0,50.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
1XhQDGJC2EU,420.0,430.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
1aTp_DNnx58,11.0,21.0,"Fire engine, fire truck (siren),Emergency vehicle"
1dFXEf-DTlo,0.0,10.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Siren,Truck,Vehicle"
1dGc0yS5bYY,20.0,30.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
1dtsNTAh6ac,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech,Car"
1hsDcNcViWU,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
1jC2-U5nR28,160.0,170.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
1n_1VNhMYAs,30.0,40.0,"Fire engine, fire truck (siren),Siren,Truck,Vehicle,Speech"
1nkpIWocJik,40.0,50.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Speech"
1o4H9mfalXs,10.0,20.0,"Fire engine, fire truck (siren),Truck,Vehicle,Car,Outside, urban or manmade"
1pxCLQl42SE,21.0,31.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Speech"
1tx8Nlrra-I,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
1ugqYLL3Km0,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Crackle,Accelerating, revving, vroom,Truck,Vehicle"
1voVmW0KbVE,26.0,36.0,"Fire engine, fire truck (siren)"
1xlO9LZByfU,40.0,50.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
20LG22ZWVo0,12.0,22.0,"Fire engine, fire truck (siren)"
20QEXBty5iY,27.0,37.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Police car (siren),Truck,Vehicle"
226p2fzAmcg,40.0,50.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
23Kdstwm_1o,30.0,40.0,"Fire engine, fire truck (siren),Siren,Truck"
23oubF45OQM,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Speech"
25d3OPYUnJs,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Idling,Truck,Vehicle,Medium engine (mid frequency)"
26KmPM2YkmQ,4.0,14.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
279LS-xMjH8,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle"
27Y70wmCSRo,14.0,24.0,"Fire engine, fire truck (siren),Emergency vehicle,Accelerating, revving, vroom,Vehicle"
2810njbji-Q,30.0,40.0,"Fire engine, fire truck (siren),Speech"
2AFypCVIaec,70.0,80.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
2AbOrSZzRtU,28.0,38.0,"Fire engine, fire truck (siren),Speech"
2AqI4emmuMc,30.0,40.0,"Fire engine, fire truck (siren)"
2Bv1aGIlbCM,30.0,40.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Siren,Vehicle"
2EkhC1fUi9k,10.0,20.0,"Fire engine, fire truck (siren),Truck,Vehicle,Outside, urban or manmade"
2IuPDFlfM3Y,0.0,10.0,"Fire engine, fire truck (siren),Vehicle,Car,Outside, rural or natural"
2J4P1CYmQ3o,240.0,250.0,"Fire engine, fire truck (siren),Speech,Inside, small room,Outside, urban or manmade"
2K9AOofF_gM,30.0,40.0,"Fire engine, fire truck (siren),Speech"
2KQ4TjgVe3M,10.0,20.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
2OM9baBv9mU,18.0,28.0,"Fire engine, fire truck (siren)"
2OiD-BhSB8U,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck"
2Pk0WqSZ8zU,70.0,80.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
2XYNWljgy68,0.0,7.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
2YKDeZefnM4,160.0,170.0,"Fire engine, fire truck (siren),Siren,Truck,Vehicle,Speech"
2_2efspUwgc,10.0,20.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
2_KQUcAoy4Q,50.0,60.0,"Fire engine, fire truck (siren),Fire,Truck,Vehicle"
2adL_TtRl1M,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
2adoiyeQ6hc,30.0,40.0,"Fire engine, fire truck (siren)"
2b0R-kFTsQw,30.0,40.0,"Fire engine, fire truck (siren),Engine,Idling,Accelerating, revving, vroom,Truck,Vehicle,Speech"
2d4a3vR3kbg,120.0,130.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
2e34DOMkQzc,30.0,40.0,"Fire engine, fire truck (siren),Accelerating, revving, vroom,Vehicle,Speech,Medium engine (mid frequency)"
2jn7-T4oifc,90.0,100.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
2k1ynWRibF4,140.0,150.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Truck,Vehicle"
2kUtmr3RgVA,30.0,40.0,"Fire engine, fire truck (siren)"
2s26LBhfJEk,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
2sN7pXXM3Ik,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
2xD3xJDlvFc,6.0,16.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
2ymiXjImwGs,9.0,19.0,"Fire engine, fire truck (siren),Bus,Speech"
2zDdop9bMXE,6.0,16.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
31WGUPOYS5g,22.0,32.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
32qZhauXqGU,30.0,40.0,"Fire engine, fire truck (siren)"
36QOZUz_P1k,10.0,20.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
36kVbzsCZHw,40.0,50.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Outside, urban or manmade"
39mDuCEBi3A,110.0,120.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
3AHbXzf-ddc,30.0,40.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
3BUDh6VHm4M,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
3EJEz1GGTas,20.0,30.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Car"
3F4CIrXNo4M,50.0,60.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
3Flt1nwUuSY,3.0,13.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
3KslWN_bEmE,10.0,20.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
3OUIr-81n4E,420.0,430.0,"Fire engine, fire truck (siren),Emergency vehicle,Speech"
3O_PSQukcks,30.0,40.0,"Fire engine, fire truck (siren),Truck,Vehicle"
3PCLXDv2Hqw,1.0,11.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
3PPCeZBxIgI,10.0,20.0,"Fire engine, fire truck (siren),Truck,Vehicle"
3SIy_iUgkC4,10.0,20.0,"Fire engine, fire truck (siren),Truck,Vehicle"
3SJcEcHB3m4,19.0,29.0,"Fire engine, fire truck (siren)"
3Sf62xwKEsk,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
3SyWG8t-lww,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
3UVggBOvV44,30.0,40.0,"Fire engine, fire truck (siren),Speech"
3UtxghzwQwg,10.0,20.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
3V0xUgIYVfM,0.0,10.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Vehicle"
3VBmRaKzh7c,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Car"
3YXtVmoXVeE,20.0,30.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Siren,Truck,Vehicle"
3_XYxXaCVxU,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Speech"
3cFuG5oNQtU,60.0,70.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Car"
3cfKUQPlTK0,30.0,40.0,"Fire engine, fire truck (siren),Siren"
3ckWXmkltP4,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
3dH8M2NLNTk,30.0,40.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Siren,Vehicle,Speech,Traffic noise, roadway noise"
3doKyrCe1lA,30.0,40.0,"Fire engine, fire truck (siren)"
3f0fqk3xhTY,30.0,40.0,"Fire engine, fire truck (siren),Siren,Truck,Vehicle,Speech"
3iYEVM67zks,13.0,23.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
3j6FNm27W3s,5.0,15.0,"Fire engine, fire truck (siren),Engine,Emergency vehicle,Accelerating, revving, vroom,Truck,Vehicle,Medium engine (mid frequency)"
3jsK4rhvRmY,190.0,200.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
3k91VseVWWs,30.0,40.0,"Fire engine, fire truck (siren),Police car (siren)"
3kuXJo9TDw8,0.0,5.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
3lV-X8GFUlk,0.0,10.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Speech,Outside, urban or manmade"
3lni--AmsG4,19.0,29.0,"Fire engine, fire truck (siren),Vehicle"
3mZ8cgz8Haw,20.0,30.0,"Motor vehicle (road),Fire engine, fire truck (siren),Truck,Vehicle"
3ohACD-POAk,20.0,30.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
3plZ5vY7ZPQ,20.0,30.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Siren,Vehicle"
3q5U9anlOJ0,110.0,120.0,"Fire engine, fire truck (siren)"
3q8x5-tmsIk,90.0,100.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
3qSQFz8Y1QU,120.0,130.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
3rTYwf0KHvM,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Heavy engine (low frequency)"
3tp9Fc-df2g,22.0,32.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
3uHIaS9Y8Nw,18.0,28.0,"Fire engine, fire truck (siren)"
3wE9pAYjDPs,0.0,7.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
3z5h1ZIxVUw,560.0,570.0,"Fire engine, fire truck (siren),Emergency vehicle,Speech"
3zbU6CqKHhU,1.0,11.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren,Police car (siren)"
3zluhuW8P90,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
405JB_BKBm8,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
41hXSY-DYYg,0.0,10.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
47_VTkDjmck,10.0,20.0,"Fire engine, fire truck (siren),Truck,Vehicle"
4CIPHZA1rZA,20.0,30.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
4CyaIjAKaSc,11.0,21.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech"
4DcTYyncjz0,30.0,40.0,"Fire engine, fire truck (siren)"
4EcM6rmYP9Y,14.0,24.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
4G_pOIX3bNU,10.0,20.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech"
4Hr1T2QFQKg,30.0,40.0,"Fire engine, fire truck (siren),Engine,Emergency vehicle,Accelerating, revving, vroom,Truck,Vehicle,Speech,Heavy engine (low frequency)"
4KKV6lL45SE,30.0,40.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Vehicle horn, car horn, honking,Speech"
4Ol-HLrRhqg,10.0,20.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
4PsfFC62PWc,90.0,100.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
4RGIsyMfTRU,0.0,10.0,"Fire engine, fire truck (siren),Toot,Truck,Vehicle"
4RrIsKqFt0g,9.0,19.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
4WcHPIe497Q,200.0,210.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Speech"
4Y-svVX4wuc,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Truck,Vehicle"
4Z_EcMOdsJ8,0.0,10.0,"Fire engine, fire truck (siren)"
4_DSLkh6REY,21.0,31.0,"Fire engine, fire truck (siren),Emergency vehicle,Accelerating, revving, vroom,Vehicle"
4__TaYx85vM,20.0,30.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
4aQ9u61Uh6c,100.0,110.0,"Motor vehicle (road),Fire engine, fire truck (siren),Truck,Vehicle,Car"
4bAD3LC4qyg,30.0,40.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren,Police car (siren)"
4bl-XDJtoxw,5.0,15.0,"Fire engine, fire truck (siren),Vehicle"
4cnCZVbEmIs,320.0,330.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
4ey2X3yWSgA,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
4houVHtM6kM,7.0,17.0,"Fire engine, fire truck (siren),Siren,Vehicle,Speech"
4jI1Y6D2Of0,30.0,40.0,"Fire engine, fire truck (siren),Truck,Vehicle"
4jWh0Df0CxY,16.0,26.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Speech"
4l78f9VZ9uE,30.0,40.0,"Fire engine, fire truck (siren),Air horn, truck horn"
4mhJTbctOgQ,30.0,40.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
